plz,name,canton,canton_name,municipality
3625,Heiligenschwendi,BE,Bern / Berne,
3626,Hünibach,BE,Bern / Berne,
3627,Heimberg,BE,Bern / Berne,
3628,Uttigen,BE,Bern / Berne,
3629,Jaberg,BE,Bern / Berne,
3629,Kiesen,BE,Bern / Berne,
3629,Oppligen,BE,Bern / Berne,
3631,Höfen b. Thun,BE,Bern / Berne,
3632,Niederstocken,BE,Bern / Berne,
3632,Oberstocken,BE,Bern / Berne,
3633,Amsoldingen,BE,Bern / Berne,
3634,Thierachern,BE,Bern / Berne,
3635,Uebeschi,BE,Bern / Berne,
3636,Forst b. Längenbühl,BE,Bern / Berne,
3636,Längenbühl,BE,Bern / Berne,
3638,Blumenstein,BE,Bern / Berne,
3638,Pohlern,BE,Bern / Berne,
3645,Gwatt (Thun),BE,Bern / Berne,
3645,Zwieselberg,BE,Bern / Berne,
3646,Einigen,BE,Bern / Berne,
3647,Reutigen,BE,Bern / Berne,
3652,Hilterfingen,BE,Bern / Berne,
3653,Oberhofen am Thunersee,BE,Bern / Berne,
3654,Gunten,BE,Bern / Berne,
3655,Sigriswil,BE,Bern / Berne,
3656,Aeschlen ob Gunten,BE,Bern / Berne,
3656,Ringoldswil,BE,Bern / Berne,
3656,Tschingel ob Gunten,BE,Bern / Berne,
3657,Schwanden (Sigriswil),BE,Bern / Berne,
3658,Merligen,BE,Bern / Berne,
3661,Uetendorf,BE,Bern / Berne,
3662,Seftigen,BE,Bern / Berne,
3663,Gurzelen,BE,Bern / Berne,
3664,Burgistein,BE,Bern / Berne,
3665,Wattenwil,BE,Bern / Berne,
3671,Brenzikofen,BE,Bern / Berne,
3671,Herbligen,BE,Bern / Berne,
3672,Aeschlen b. Oberdiessbach,BE,Bern / Berne,
3672,Oberdiessbach,BE,Bern / Berne,
3673,Linden,BE,Bern / Berne,
3674,Bleiken b. Oberdiessbach,BE,Bern / Berne,
3700,Spiez,BE,Bern / Berne,
3702,Hondrich,BE,Bern / Berne,
3703,Aeschi b. Spiez,BE,Bern / Berne,
3703,Aeschiried,BE,Bern / Berne,
3704,Krattigen,BE,Bern / Berne,
3705,Faulensee,BE,Bern / Berne,
3706,Leissigen,BE,Bern / Berne,
3707,Därligen,BE,Bern / Berne,
3711,Emdthal,BE,Bern / Berne,
3711,Mülenen,BE,Bern / Berne,
3713,Reichenbach im Kandertal,BE,Bern / Berne,
3714,Frutigen,BE,Bern / Berne,
3714,Wengi b. Frutigen,BE,Bern / Berne,
3715,Adelboden,BE,Bern / Berne,
3716,Kandergrund,BE,Bern / Berne,
3717,Blausee-Mitholz,BE,Bern / Berne,
3718,Kandersteg,BE,Bern / Berne,
3722,Scharnachtal,BE,Bern / Berne,
3723,Kiental,BE,Bern / Berne,
3724,Ried (Frutigen),BE,Bern / Berne,
3725,Achseten,BE,Bern / Berne,
3752,Wimmis,BE,Bern / Berne,
3753,Oey,BE,Bern / Berne,
3754,Diemtigen,BE,Bern / Berne,
3755,Horboden,BE,Bern / Berne,
3756,Zwischenflüh,BE,Bern / Berne,
3757,Schwenden im Diemtigtal,BE,Bern / Berne,
3758,Latterbach,BE,Bern / Berne,
3762,Erlenbach im Simmental,BE,Bern / Berne,
3763,Därstetten,BE,Bern / Berne,
3764,Weissenburg,BE,Bern / Berne,
3765,Oberwil im Simmental,BE,Bern / Berne,
3766,Boltigen,FR,Fribourg / Freiburg,
3770,Zweisimmen,BE,Bern / Berne,
3771,Blankenburg,BE,Bern / Berne,
3772,St. Stephan,BE,Bern / Berne,
3773,Matten (St. Stephan),BE,Bern / Berne,
3775,Lenk im Simmental,BE,Bern / Berne,
3776,Oeschseite,BE,Bern / Berne,
3777,Saanenmöser,BE,Bern / Berne,
3778,Schönried,BE,Bern / Berne,
3780,Gstaad,BE,Bern / Berne,
3781,Turbach,BE,Bern / Berne,
3782,Lauenen b. Gstaad,BE,Bern / Berne,
3783,Grund b. Gstaad,BE,Bern / Berne,
3784,Feutersoey,BE,Bern / Berne,
3785,Gsteig b. Gstaad,BE,Bern / Berne,
3792,Saanen,BE,Bern / Berne,
3800,Interlaken,BE,Bern / Berne,
3800,Matten b. Interlaken,BE,Bern / Berne,
3800,Sundlauenen,BE,Bern / Berne,
3800,Unterseen,BE,Bern / Berne,
3801,Jungfraujoch,BE,Bern / Berne,
3803,Beatenberg,BE,Bern / Berne,
3804,Habkern,BE,Bern / Berne,
3805,Goldswil b. Interlaken,BE,Bern / Berne,
3806,Bönigen b. Interlaken,BE,Bern / Berne,
3807,Iseltwald,BE,Bern / Berne,
3812,Wilderswil,BE,Bern / Berne,
3813,Saxeten,BE,Bern / Berne,
3814,Gsteigwiler,BE,Bern / Berne,
3815,Gündlischwand,BE,Bern / Berne,
3815,Zweilütschinen,BE,Bern / Berne,
3816,Burglauenen,BE,Bern / Berne,
3816,Lütschental,BE,Bern / Berne,
3818,Grindelwald,BE,Bern / Berne,
3822,Isenfluh,BE,Bern / Berne,
3822,Lauterbrunnen,BE,Bern / Berne,
3823,Eigergletscher,BE,Bern / Berne,
3823,Kleine Scheidegg,BE,Bern / Berne,
3823,Wengen,BE,Bern / Berne,
3824,Stechelberg,BE,Bern / Berne,
3825,Mürren,BE,Bern / Berne,
3826,Gimmelwald,BE,Bern / Berne,
3852,Ringgenberg BE,BE,Bern / Berne,
3853,Niederried b. Interlaken,BE,Bern / Berne,
3854,Oberried am Brienzersee,BE,Bern / Berne,
3855,Axalp,BE,Bern / Berne,
3855,Brienz BE,BE,Bern / Berne,
3855,Schwanden b. Brienz,BE,Bern / Berne,
3856,Brienzwiler,BE,Bern / Berne,
3857,Unterbach BE,BE,Bern / Berne,
3858,Hofstetten b. Brienz,BE,Bern / Berne,
3860,Brünig,BE,Bern / Berne,
3860,Meiringen,BE,Bern / Berne,
3860,Rosenlaui,BE,Bern / Berne,
3860,Schattenhalb,BE,Bern / Berne,
3862,Innertkirchen,BE,Bern / Berne,
3863,Gadmen,BE,Bern / Berne,
3864,Guttannen,BE,Bern / Berne,
3900,Brig,VS,Valais / Wallis,
3900,Brigerbad,VS,Valais / Wallis,
3900,Gamsen,VS,Valais / Wallis,
3901,Rothwald,VS,Valais / Wallis,
3902,Glis,VS,Valais / Wallis,
3903,Birgisch,VS,Valais / Wallis,
3903,Mund,VS,Valais / Wallis,
3904,Naters,VS,Valais / Wallis,
3905,Saas-Almagell,VS,Valais / Wallis,
3906,Saas-Fee,VS,Valais / Wallis,
3907,Gabi (Simplon),VS,Valais / Wallis,
3907,Gondo,VS,Valais / Wallis,
3907,Simplon Dorf,VS,Valais / Wallis,
3907,Simplon Hospiz,VS,Valais / Wallis,
3908,Saas-Balen,VS,Valais / Wallis,
3910,Saas-Grund,VS,Valais / Wallis,
3911,Ried-Brig,VS,Valais / Wallis,
3912,Termen,VS,Valais / Wallis,
3913,Rosswald,VS,Valais / Wallis,
3914,Belalp,VS,Valais / Wallis,
3914,Blatten b. Naters,VS,Valais / Wallis,
3916,Ferden,VS,Valais / Wallis,
3917,Goppenstein,VS,Valais / Wallis,
3917,Kippel,VS,Valais / Wallis,
3918,Wiler (Lötschen),VS,Valais / Wallis,
3919,Blatten (Lötschen),VS,Valais / Wallis,
3920,Zermatt,VS,Valais / Wallis,
3922,Eisten,VS,Valais / Wallis,
3922,Kalpetran,VS,Valais / Wallis,
3922,Stalden VS,VS,Valais / Wallis,
3923,Törbel,VS,Valais / Wallis,
3924,St. Niklaus VS,VS,Valais / Wallis,
3925,Grächen,VS,Valais / Wallis,
3926,Embd,VS,Valais / Wallis,
3927,Herbriggen,VS,Valais / Wallis,
3928,Randa,VS,Valais / Wallis,
3929,Täsch,VS,Valais / Wallis,
3930,Eyholz,VS,Valais / Wallis,
3930,Visp,VS,Valais / Wallis,
3931,Lalden,VS,Valais / Wallis,
3932,Visperterminen,VS,Valais / Wallis,
3933,Staldenried,VS,Valais / Wallis,
3934,Zeneggen,VS,Valais / Wallis,
3935,Bürchen,VS,Valais / Wallis,
3937,Baltschieder,VS,Valais / Wallis,
3938,Ausserberg,VS,Valais / Wallis,
3939,Eggerberg,VS,Valais / Wallis,
3940,Steg VS,VS,Valais / Wallis,
3942,Niedergesteln,VS,Valais / Wallis,
3942,Raron,VS,Valais / Wallis,
3942,St. German,VS,Valais / Wallis,
3943,Eischoll,VS,Valais / Wallis,
3944,Unterbäch VS,VS,Valais / Wallis,
3945,Gampel,VS,Valais / Wallis,
3945,Niedergampel,VS,Valais / Wallis,
3946,Gruben,VS,Valais / Wallis,
3946,Turtmann,VS,Valais / Wallis,
3947,Ergisch,VS,Valais / Wallis,
3948,Oberems,VS,Valais / Wallis,
3948,Unterems,VS,Valais / Wallis,
3949,Hohtenn,VS,Valais / Wallis,
3951,Agarn,VS,Valais / Wallis,
3952,Susten,VS,Valais / Wallis,
3953,Inden,VS,Valais / Wallis,
3953,Leuk Stadt,VS,Valais / Wallis,
3953,Varen,VS,Valais / Wallis,
3954,Leukerbad,VS,Valais / Wallis,
3955,Albinen,VS,Valais / Wallis,
3956,Guttet-Feschel,VS,Valais / Wallis,
3957,Bratsch,VS,Valais / Wallis,
3957,Erschmatt,VS,Valais / Wallis,
3960,Corin-de-la-Crête,VS,Valais / Wallis,
3960,Loc,VS,Valais / Wallis,
3960,Muraz (Sierre),VS,Valais / Wallis,
3960,Niouc,VS,Valais / Wallis,
3960,Sierre,VS,Valais / Wallis,
3961,Ayer,VS,Valais / Wallis,
3961,Chandolin,VS,Valais / Wallis,
3961,Grimentz,VS,Valais / Wallis,
3961,Mission,VS,Valais / Wallis,
3961,St-Jean VS,VS,Valais / Wallis,
3961,St-Luc,VS,Valais / Wallis,
3961,Vissoie,VS,Valais / Wallis,
3961,Zinal,VS,Valais / Wallis,
3963,Aminona,VS,Valais / Wallis,
3963,Crans VS,VS,Valais / Wallis,
3963,Crans-Montana,VS,Valais / Wallis,
3963,Montana,VS,Valais / Wallis,
3965,Chippis,VS,Valais / Wallis,
3966,Chalais,VS,Valais / Wallis,
3966,Réchy,VS,Valais / Wallis,
3967,Vercorin,VS,Valais / Wallis,
3968,Veyras,VS,Valais / Wallis,
3970,Salgesch,VS,Valais / Wallis,
3971,Chermignon,VS,Valais / Wallis,
3971,Chermignon-d'en-Bas,VS,Valais / Wallis,
3971,Ollon VS,VS,Valais / Wallis,
3972,Miège,VS,Valais / Wallis,
3973,Venthône,VS,Valais / Wallis,
3974,Mollens VS,VS,Valais / Wallis,
3975,Randogne,VS,Valais / Wallis,
3976,Champzabé,VS,Valais / Wallis,
3976,Noës,VS,Valais / Wallis,
3977,Granges VS,VS,Valais / Wallis,
3978,Flanthey,VS,Valais / Wallis,
3979,Grône,VS,Valais / Wallis,
3982,Bitsch,VS,Valais / Wallis,
3983,Bister,VS,Valais / Wallis,
3983,Filet,VS,Valais / Wallis,
3983,Goppisberg,VS,Valais / Wallis,
3983,Greich,VS,Valais / Wallis,
3983,Mörel,VS,Valais / Wallis,
3984,Fiesch,VS,Valais / Wallis,
3984,Fieschertal,VS,Valais / Wallis,
3985,Geschinen,VS,Valais / Wallis,
3985,Münster VS,VS,Valais / Wallis,
3986,Ried-Mörel,VS,Valais / Wallis,
3987,Riederalp,VS,Valais / Wallis,
3988,Obergesteln,VS,Valais / Wallis,
3988,Ulrichen,VS,Valais / Wallis,
3989,Biel VS,VS,Valais / Wallis,
3989,Blitzingen,VS,Valais / Wallis,
3989,Niederwald,VS,Valais / Wallis,
3989,Ritzingen,VS,Valais / Wallis,
3989,Selkingen,VS,Valais / Wallis,
3991,Betten,VS,Valais / Wallis,
3992,Bettmeralp,VS,Valais / Wallis,
